,index,날짜,시가,고가,저가,종가,거래량,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch,label
0,0,2018-01-02,461,467,452,460,175839,,460.0,460.0,460.0,100.0,100.0,100.0,,,,457.6666666666667,0.0,0.0,,,0.0,-100
1,1,2018-01-03,458,483,458,479,452913,3.966597077244259,469.5,469.5,469.5,102.0234291799787,102.0234291799787,102.0234291799787,13.435028842544405,496.3700576850888,442.6299423149112,465.0,210604545.0,0.0,,,0.0,-100
2,2,2018-01-04,477,499,472,495,558815,3.2323232323232323,478.0,478.0,478.0,103.55648535564856,103.55648535564856,103.55648535564856,17.52141546793523,513.0428309358705,442.9571690641295,481.3333333333333,268976286.0,0.0,,,0.0,-100
3,3,2018-01-05,495,495,479,489,296527,-1.2269938650306749,480.75,480.75,480.75,101.71606864274573,101.71606864274573,101.71606864274573,15.326991442115007,511.40398288423,450.09601711577,487.6666666666667,144606333.0,0.0,,,0.0,-100
4,4,2018-01-08,483,514,483,497,507807,1.6096579476861168,484.0,484.0,484.0,102.68595041322315,102.68595041322315,102.68595041322315,15.132745950421556,514.2654919008431,453.73450809915687,487.6666666666667,0.0,247640547.0,,,0.0,-100
5,5,2018-01-09,500,500,480,493,227362,-0.8113590263691683,490.6,485.5,485.5,100.48919690175296,101.5447991761071,101.5447991761071,14.024977718342372,513.5499554366847,457.45004456331526,491.0,111634742.0,0.0,,,0.0,-100
6,6,2018-01-10,491,496,472,482,482543,-2.282157676348548,491.2,485.0,485.0,98.1270358306189,99.38144329896907,99.38144329896907,12.871156384205214,510.7423127684104,459.2576872315896,481.6666666666667,0.0,232424878.0,,,0.0,-100
7,7,2018-01-11,486,487,472,481,305468,-0.2079002079002079,488.4,484.5,484.5,98.48484848484848,99.27760577915376,99.27760577915376,12.0,508.5,460.5,479.6666666666667,0.0,146522817.0,,,0.0,-100
8,8,2018-01-12,478,483,472,481,359350,0.0,486.8,484.1111111111111,484.1111111111111,98.80854560394413,99.35735597888456,99.35735597888456,11.285438011486798,506.6819871340847,461.5402350881375,477.0,0.0,171409950.0,,,0.0,-100
9,9,2018-01-15,480,484,463,476,285833,-1.050420168067227,482.6,483.3,483.3,98.63240779113136,98.48955100351748,98.48955100351748,10.944811048569491,505.189622097139,461.410377902861,473.0,0.0,135199009.0,,,0.0,-100
10,10,2018-01-16,472,478,465,470,397751,-1.276595744680851,478.0,482.09090909090907,482.09090909090907,98.32635983263596,97.49198566848956,97.49198566848956,11.130629321422438,504.352167733754,459.82965044806417,469.0,0.0,186545219.0,,,0.0,-100
11,11,2018-01-17,467,485,467,484,185836,2.8925619834710745,478.4,482.25,482.25,101.17056856187293,100.36288232244684,100.36288232244684,10.626938325868748,503.5038766517375,460.9961233482625,472.6666666666667,87838482.0,0.0,,,0.0,-100
12,12,2018-01-18,492,536,477,520,3219581,6.923076923076923,486.2,485.1538461538461,485.1538461538461,106.951871657754,107.18249563976534,107.18249563976534,14.599350178724588,514.3525465112953,455.95514579639695,496.3333333333333,1597985369.0,0.0,,,1.0,-100
13,13,2018-01-19,528,608,502,505,8289861,-2.9702970297029703,491.0,486.57142857142856,486.57142857142856,102.85132382892056,103.7874339401057,103.7874339401057,14.99597015464891,516.5633688807263,456.5794882621307,511.6666666666667,4241645545.0,0.0,5.950735796898719,85.61303394028903,0.0,-100
14,14,2018-01-22,505,533,499,505,1741688,0.0,496.8,487.8,487.8,101.65056360708536,103.5260352603526,103.5260352603526,15.213715616414778,518.2274312328295,457.3725687671704,503.0,0.0,876069064.0,3.3386376195438308,76.95129006637016,0.0,-100
15,15,2018-01-23,505,530,505,530,2148724,4.716981132075472,508.8,490.4375,490.4375,104.16666666666669,108.06677711227222,108.06677711227222,18.09224050986131,526.6219810197226,454.2530189802774,513.3333333333334,1103011653.0,0.0,3.785777600025073,79.10475405303495,1.0,-100
16,16,2018-01-24,529,550,517,533,2133793,0.5628517823639775,518.6,492.9411764705882,492.9411764705882,102.77670651754724,108.12649164677804,108.12649164677804,20.33307216161424,533.6073207938167,452.27503214735975,526.3333333333334,1123086382.0,0.0,4.213728888434435,80.8198695904904,0.0,-100
