,index,날짜,시가,고가,저가,종가,거래량,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch,label
0,0,2018-01-02,8630,8710,8610,8700,9726,,8700.0,8700.0,8700.0,100.0,100.0,100.0,,,,8646.666666666666,0.0,0.0,,,0.0,-100
1,1,2018-01-03,8700,8700,8590,8640,11005,-0.6944444444444444,8670.0,8670.0,8670.0,99.65397923875432,99.65397923875432,99.65397923875432,42.42640687119285,8754.852813742385,8585.147186257615,8643.333333333334,0.0,95119883.0,,,0.0,-100
2,2,2018-01-04,8640,8670,8580,8670,17672,0.3460207612456747,8670.0,8670.0,8670.0,100.0,100.0,100.0,30.0,8730.0,8610.0,8630.0,0.0,152509360.0,,,0.0,-100
3,3,2018-01-05,8670,8690,8590,8690,16900,0.2301495972382048,8675.0,8675.0,8675.0,100.1729106628242,100.1729106628242,100.1729106628242,26.457513110645905,8727.915026221292,8622.084973778708,8650.0,146185000.0,0.0,,,0.0,-100
4,4,2018-01-08,8690,8690,8520,8580,14664,-1.282051282051282,8656.0,8656.0,8656.0,99.12199630314234,99.12199630314234,99.12199630314234,48.27007354458868,8752.540147089177,8559.459852910823,8596.666666666666,0.0,126061519.0,,,0.0,-100
5,5,2018-01-09,8580,8590,8550,8570,11054,-0.116686114352392,8630.0,8641.666666666666,8641.666666666666,99.3047508690614,99.17068466730954,99.17068466730954,55.64770136013397,8752.962069386935,8530.371263946397,8566.666666666666,0.0,94695933.0,,,0.0,-100
6,6,2018-01-10,8570,8690,8550,8620,19966,0.580046403712297,8626.0,8638.57142857143,8638.57142857143,99.93044284720612,99.78501736398212,99.78501736398212,51.455019654247856,8741.481467879925,8535.661389262934,8580.0,171308280.0,0.0,,,0.0,-100
7,7,2018-01-11,8630,8630,8560,8570,15802,-0.5834305717619603,8606.0,8630.0,8630.0,99.58168719498023,99.3047508690614,99.3047508690614,53.45224838248468,8736.90449676497,8523.09550323503,8586.666666666666,135686506.0,0.0,,,0.0,-100
8,8,2018-01-12,8630,8630,8540,8560,5972,-0.116822429906542,8580.0,8622.222222222223,8622.222222222223,99.76689976689975,99.27835051546391,99.27835051546391,55.17648452415602,8732.575191270535,8511.86925317391,8576.666666666666,0.0,51219853.0,,,0.0,-100
9,9,2018-01-15,8600,8670,8490,8590,17584,0.3492433061699651,8582.0,8619.0,8619.0,100.09321836401772,99.66353405267434,99.66353405267434,53.00943312279417,8725.018866245588,8512.981133754412,8560.0,0.0,150519040.0,,,0.0,-100
10,10,2018-01-16,8530,8630,8490,8590,10925,0.0,8586.0,8616.363636363636,8616.363636363636,100.04658746797112,99.6940282760076,99.6940282760076,51.04365333177606,8718.450943027188,8514.276329700084,8536.666666666666,0.0,93263083.0,,,0.0,-100
