,index,날짜,시가,고가,저가,종가,거래량,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch,label
0,0,2018-01-02,1700,1700,1635,1650,464656,,1650.0,1650.0,1650.0,100.0,100.0,100.0,,,,1661.6666666666667,0.0,0.0,,,0.0,-100
1,1,2018-01-03,1650,1780,1645,1705,1297049,3.225806451612903,1677.5,1677.5,1677.5,101.63934426229508,101.63934426229508,101.63934426229508,38.89087296526012,1755.2817459305202,1599.7182540694798,1666.6666666666667,2161748333.0,0.0,,,0.0,-100
2,2,2018-01-04,1725,1745,1690,1740,539678,2.011494252873564,1698.3333333333333,1698.3333333333333,1698.3333333333333,102.45338567222768,102.45338567222768,102.45338567222768,45.36885862938736,1789.071050592108,1607.5956160745586,1718.3333333333333,927346696.0,0.0,,,0.0,-100
3,3,2018-01-05,1800,1970,1800,1825,6899820,4.657534246575342,1730.0,1730.0,1730.0,105.49132947976878,105.49132947976878,105.49132947976878,73.37120234351715,1876.7424046870344,1583.2575953129658,1808.3333333333333,12477174500.0,0.0,,,0.0,-100
4,4,2018-01-08,1840,1850,1765,1795,1409979,-1.6713091922005572,1743.0,1743.0,1743.0,102.9833620195066,102.9833620195066,102.9833620195066,69.87488819311272,1882.7497763862248,1603.2502236137746,1800.0,0.0,2537962200.0,,,0.0,-100
5,5,2018-01-09,1800,1870,1775,1790,1281146,-0.2793296089385474,1771.0,1750.8333333333333,1750.8333333333333,101.07284020327498,102.23702998572108,102.23702998572108,65.37711118324722,1881.587555699828,1620.079110966839,1788.3333333333333,0.0,2291116096.0,,,0.0,-100
6,6,2018-01-10,1780,1840,1780,1820,984907,1.6483516483516485,1794.0,1760.7142857142858,1760.7142857142858,101.44927536231884,103.36713995943204,103.36713995943204,65.15549167367323,1891.025269061632,1630.4033023669394,1793.3333333333333,1766266553.0,0.0,,,0.0,-100
7,7,2018-01-11,1925,1950,1850,1875,1820598,2.933333333333333,1821.0,1775.0,1775.0,102.9654036243822,105.6338028169014,105.6338028169014,72.60460434041757,1920.2092086808352,1629.7907913191648,1883.3333333333333,3428792900.0,0.0,,,0.0,-100
8,8,2018-01-12,1875,1875,1820,1850,444263,-1.351351351351351,1826.0,1783.3333333333333,1783.3333333333333,101.3143483023001,103.73831775700934,103.73831775700934,72.37057413065074,1928.0744815946348,1638.5921850720315,1848.3333333333333,0.0,821146111.0,,,0.0,-100
9,9,2018-01-15,1845,1850,1790,1840,472958,-0.5434782608695652,1835.0,1789.0,1789.0,100.2724795640327,102.8507546115148,102.8507546115148,70.54549359574064,1930.0909871914807,1647.9090128085188,1825.0,0.0,863148350.0,,,0.0,-100
10,10,2018-01-16,1850,1850,1785,1810,520027,-1.6574585635359116,1839.0,1790.909090909091,1790.909090909091,98.4230560087004,101.06598984771573,101.06598984771573,67.22418396002233,1925.357458829136,1656.4607229890464,1815.0,0.0,943849005.0,,,0.0,-100
11,11,2018-01-17,1815,1865,1790,1830,655056,1.092896174863388,1841.0,1794.1666666666667,1794.1666666666667,99.40249864204236,101.99721319089645,101.99721319089645,65.08153394478401,1924.3297345562348,1664.003598777099,1811.6666666666667,0.0,1186743120.0,,,0.0,-100
12,12,2018-01-18,1850,1870,1815,1840,784231,0.5434782608695652,1834.0,1797.6923076923076,1797.6923076923076,100.32715376226828,102.35344458707743,102.35344458707743,63.59426679529203,1924.880841282892,1670.5037741017236,1835.0,1439063885.0,0.0,,,0.0,-100
13,13,2018-01-19,1840,1850,1800,1825,491795,-0.821917808219178,1829.0,1799.642857142857,1799.642857142857,99.78130125751775,101.40900972415162,101.40900972415162,61.5337395166352,1922.710336176128,1676.5753781095868,1821.6666666666667,0.0,895886558.0,2.327121444880697,69.94398862299848,0.0,-100
14,14,2018-01-22,1820,1870,1815,1825,409353,0.0,1826.0,1801.3333333333333,1801.3333333333333,99.94523548740416,101.31384159881569,101.31384159881569,59.65575851340368,1920.6448503601407,1682.0218163065258,1820.0,0.0,745022460.0,2.158547891092763,68.33988166460792,0.0,-100
15,15,2018-01-23,1835,1850,1795,1810,680068,-0.8287292817679558,1826.0,1801.875,1801.875,99.1237677984666,100.45091918140824,100.45091918140824,57.67365082947335,1917.222301658947,1686.527698341053,1813.3333333333333,0.0,1233189973.0,1.739758066542196,63.50042683651686,0.0,-100
16,16,2018-01-24,1810,1840,1785,1785,761732,-1.400560224089636,1817.0,1800.8823529411766,1800.8823529411766,98.23885525591636,99.11807937285644,99.11807937285644,55.992055633970594,1912.8664642091176,1688.8982416732354,1793.3333333333333,0.0,1366039386.0,1.4833238645964812,59.73139008340777,0.0,-100
17,17,2018-01-25,1795,1810,1770,1775,660381,-0.5633802816901409,1804.0,1799.4444444444443,1799.4444444444443,98.39246119733924,98.64155603581352,98.64155603581352,54.66176448608329,1908.7679734166109,1690.1209154722778,1780.0,0.0,1175478180.0,0.4718578121819149,32.05865459805675,0.0,-100
18,18,2018-01-26,1790,1875,1760,1855,1117866,4.31266846361186,1810.0,1802.368421052632,1802.368421052632,102.48618784530387,102.920134326179,102.920134326179,54.629266196300016,1911.626953445232,1693.1098886600316,1801.6666666666667,2014021910.0,0.0,0.7506015490189556,42.876778524478965,0.0,-100
19,19,2018-01-29,1850,1930,1850,1930,2193811,3.886010362694301,1831.0,1808.75,1808.75,105.40688148552704,106.7035245335176,106.7035245335176,60.34713179422433,1929.4442635884488,1688.0557364115514,1876.6666666666667,4117051976.0,0.0,1.3829362306951332,58.03496597522095,1.0,-100
20,20,2018-01-30,1925,1940,1880,1905,963266,-1.3123359580052494,1850.0,1821.5,1813.3333333333333,102.97297297297295,104.58413395553116,105.05514705882352,51.30148248601754,1924.1029649720351,1718.8970350279649,1903.3333333333333,1833416286.0,0.0,1.39021099480709,58.16268931184008,0.0,-100
21,21,2018-01-31,1890,1935,1870,1880,737093,-1.3297872340425532,1869.0,1830.25,1816.3636363636365,100.58855002675227,102.7182078950963,103.50350350350352,44.91146260905136,1920.072925218103,1740.427074781897,1880.0,0.0,1385734840.0,0.885770841993002,46.971287405041394,0.0,-100
22,22,2018-02-01,1870,1900,1840,1885,719201,0.2652519893899204,1891.0,1837.5,1819.3478260869565,99.68270756213644,102.58503401360544,103.60855538296092,41.11921051873708,1919.7384210374744,1755.2615789625258,1865.0,0.0,1341309865.0,0.8443978835423365,45.78176385241737,0.0,-100
23,23,2018-02-02,1895,1915,1785,1815,1190292,-3.8567493112947657,1883.0,1837.0,1819.1666666666667,96.388741370154,98.80239520958084,99.77095739807604,41.33941664345374,1919.6788332869075,1754.3211667130925,1831.6666666666667,0.0,2180218180.0,0.7550949955125874,43.02302709786127,0.0,-100
24,24,2018-02-05,1760,1780,1710,1745,654029,-4.011461318051576,1846.0,1834.5,1816.2,94.52871072589384,95.12128645407468,96.07972690232351,45.332107826572624,1925.1642156531448,1743.8357843468548,1738.3333333333333,0.0,1136920411.0,0.7435671611662028,42.64631599673282,0.0,-100
25,25,2018-02-06,1650,1745,1640,1745,672043,0.0,1814.0,1832.25,1813.4615384615383,96.1962513781698,95.23809523809524,96.22481442205726,48.652229894262994,1929.554459788526,1734.945540211474,1678.3333333333333,0.0,1127912168.0,0.74704235696782,42.760403260307456,0.0,-100
26,26,2018-02-07,1715,1770,1655,1660,770245,-5.120481927710843,1770.0,1824.25,1807.7777777777776,93.78531073446328,90.99629984925312,91.82544560540872,62.07539982277925,1948.4007996455584,1700.0992003544416,1676.6666666666667,0.0,1291444116.0,0.5738454192303319,36.46135841669656,1.0,-100
27,27,2018-02-08,1665,1695,1630,1670,433995,0.5988023952095809,1727.0,1814.0,1802.857142857143,96.69947886508396,92.0617420066152,92.63074484944532,69.7099252919592,1953.4198505839183,1674.5801494160817,1655.0,0.0,718261725.0,0.5812846750694838,36.76028005798143,1.0,-100
