,날짜,시가,고가,저가,종가,거래량,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch,label
0,2018-11-26,8880,9100,8040,8080,22468734,,8080.0,8080.0,8080.0,100.0,100.0,100.0,,,,8333.333333333334,0,0,,,0,-100
1,2018-11-27,7980,8440,7900,8400,10993418,3.8095238095238098,8240.0,8240.0,8240.0,101.94174757281553,101.94174757281553,101.94174757281553,226.27416997969522,8918.822509939086,7561.177490060914,8093.333333333333,0,88973396346,,,0,-100
2,2018-11-28,8420,8440,7910,8070,9458306,-4.089219330855019,8183.333333333333,8183.333333333333,8183.333333333333,98.61507128309572,98.61507128309572,98.61507128309572,187.70544300401443,8746.449662345376,7620.21700432129,8133.333333333333,76927555466,0,,,0,-100
3,2018-11-29,8420,8590,8210,8210,10276065,1.705237515225335,8190.0,8190.0,8190.0,100.24420024420024,100.24420024420024,100.24420024420024,153.83974345619097,8651.519230368573,7728.480769631427,8280.0,85085818200,0,,,0,-100
4,2018-11-30,8340,8480,8130,8480,7629330,3.1839622641509435,8248.0,8248.0,8248.0,102.81280310378274,102.81280310378274,102.81280310378274,185.93009439033796,8805.790283171014,7690.209716828986,8316.666666666666,63450594499,0,,,0,-100
5,2018-12-03,8660,8670,8430,8510,8001155,0.35252643948296125,8334.0,8291.666666666666,8291.666666666666,102.11183105351571,102.63316582914574,102.63316582914574,197.72877045758082,8884.85297803941,7698.480355293924,8533.333333333334,68276522666,0,,,0,-100
6,2018-12-04,8510,8650,8430,8600,4725308,1.0465116279069768,8374.0,8335.714285714286,8335.714285714286,102.69882971101028,103.17052270779776,103.17052270779776,214.85321678277214,8980.273936062602,7691.15463536597,8513.333333333334,0,40228122106,,,0,-100
7,2018-12-05,8480,8750,8450,8520,7345542,-0.9389671361502347,8464.0,8358.75,8358.75,100.66162570888469,101.92911619560341,101.92911619560341,209.3143568893452,8986.693070668036,7730.806929331964,8483.333333333334,0,62314681300,,,0,-100
8,2018-12-06,8510,8630,8270,8350,4747219,-2.035928143712575,8492.0,8357.777777777777,8357.777777777777,98.32783796514366,99.90693964371178,99.90693964371178,195.81737523632725,8945.22990348676,7770.3256520687955,8376.666666666666,0,39765871156,,,0,-100
9,2018-12-07,8550,8980,8440,8940,14004197,6.599552572706935,8584.0,8416.0,8416.0,104.14725069897483,106.22623574144487,106.22623574144487,260.73400664704747,9198.202019941142,7633.797980058857,8643.333333333334,121042942736,0,,,0,-100
10,2018-12-10,8520,8770,8240,8350,8945165,-7.065868263473053,8552.0,8410.0,8410.0,97.63797942001871,99.28656361474435,99.28656361474435,248.15317850070005,9154.459535502101,7665.5404644979,8370.0,0,74871031050,,,0,-100
11,2018-12-11,8220,8370,7860,8160,8737494,-2.3284313725490198,8464.0,8389.166666666666,8389.166666666666,96.40831758034027,97.26830237409358,97.26830237409358,247.36643166596332,9131.265961664556,7647.067371668776,8080.0,0,70598951520,,,0,-100
12,2018-12-12,8060,8250,7540,7750,8085572,-5.290322580645161,8310.0,8340.0,8340.0,93.26113116726835,92.92565947242207,92.92565947242207,295.83215962208476,9227.496478866255,7452.503521133745,7783.333333333333,0,62932702066,,,0,-100
13,2018-12-13,7810,8870,7750,8580,21084902,9.673659673659674,8356.0,8357.142857142857,8357.142857142857,102.68070847295357,102.66666666666666,102.66666666666666,291.37415997116346,9231.265337056348,7483.020377229366,8046.666666666667,169663178093,0,1.3292401073512166,57.06754332265093,0,-100
14,2018-12-14,8680,8750,8270,8580,10581478,0.0,8284.0,8372.0,8372.0,103.57315306615162,102.48447204968944,102.48447204968944,286.6107365150761,9231.832209545228,7512.167790454771,8510.0,90048377780,0,1.534042244893119,60.53735875890348,0,-100
15,2018-12-17,8450,8510,8110,8160,5705040,-5.147058823529411,8246.0,8358.75,8358.75,98.95707009459132,97.62225213100045,97.62225213100045,281.91901910536893,9204.507057316107,7512.9929426838935,8240.0,0,47009529600,1.6959003372401993,62.90664064296595,0,-100
16,2018-12-18,7930,8670,7890,8320,9086198,1.9230769230769231,8278.0,8356.470588235294,8356.470588235294,100.50736892969316,99.56356469097565,99.56356469097565,273.1286596201182,9175.856567095649,7537.084609374939,8046.666666666667,0,73113606573,1.2691666389123404,55.930957962641244,0,-100
17,2018-12-19,8350,8520,8160,8270,4477156,-0.6045949214026602,8382.0,8351.666666666666,8351.666666666666,98.66380338821284,99.02215126721214,99.02215126721214,265.75641213004684,9148.935903056807,7554.3974302765255,8260.0,36981308560,0,1.166998021037188,53.85321120314771,0,-100
18,2018-12-20,8430,8630,8280,8410,8395398,1.6646848989298455,8348.0,8354.736842105263,8354.736842105263,100.74269286056541,100.66145898954264,100.66145898954264,258.6152960384,9130.582730220463,7578.890953990063,8373.333333333334,70297465920,0,1.1815400129437175,54.16082244347083,0,-100
19,2018-12-21,8510,8860,8370,8570,12372512,1.8669778296382729,8346.0,8365.5,8365.5,102.68392044092978,102.44456398302553,102.44456398302553,256.2785285788226,9134.335585736468,7596.664414263532,8483.333333333334,104960143466,0,1.2594519356270686,55.74147941666798,0,-100
20,2018-12-24,8640,8820,8380,8600,8013970,0.3488372093023256,8434.0,8391.5,8376.666666666666,101.96822385582168,102.48465709348747,102.66613609231993,252.13352769807082,9147.900583094213,7635.099416905788,8540.0,68439303800,0,1.5360495371673166,60.56859358051157,0,-100
21,2018-12-26,8500,8720,8040,8110,8820164,-6.041923551171394,8392.0,8377.0,8364.545454545454,96.63965681601525,96.81270144443118,96.95685251603086,259.8400317604338,9156.520095281301,7597.479904718699,8216.666666666666,0,72472347533,1.500650373175467,60.010403264405824,0,-100
22,2018-12-27,8260,8410,8110,8140,4662068,0.36855036855036855,8366.0,8380.5,8354.782608695652,97.29858952904614,97.13024282560706,97.42922564529559,255.92916371938816,9148.287491158164,7612.712508841835,8170.0,0,38089095560,1.506381019747877,60.10183638796497,0,-100
23,2018-12-28,8250,8330,8140,8210,3533509,0.8526187576126675,8326.0,8380.5,8348.75,98.60677396108576,97.96551518405823,98.33807456206019,255.92916371938816,9148.287491158164,7612.712508841835,8200.0,28974773800,0,1.2967002193579376,56.459271803459025,0,-100
24,2019-01-02,8300,8330,7720,7770,5865933,-5.662805662805663,8166.0,8345.0,8325.6,95.15062454077884,93.10964649490712,93.3266070913808,288.56268132354114,9210.688043970624,7479.311956029376,7930.0,0,46516848690,1.3862154693784483,58.09263610798416,0,-100
25,2019-01-03,7850,8400,7560,7910,10564629,1.7699115044247788,8028.0,8315.0,8309.615384615385,98.53014449427006,95.12928442573661,95.19092802591993,301.4089720314451,9219.226916094336,7410.773083905665,7773.333333333333,0,82122382760,1.3483854817721854,57.41755313333992,0,-100
26,2019-01-04,7900,7950,7730,7770,3487906,-1.8018018018018018,7960.0,8273.5,8289.62962962963,97.61306532663316,93.91430470780202,93.73157001161648,316.8475476014487,9224.042642804347,7322.9573571956535,7800.0,27205666800,0,1.66025796350722,62.409660502185886,0,-100
27,2019-01-07,7940,8090,7870,7990,3469185,2.753441802252816,7930.0,8247.0,8278.92857142857,100.75662042875157,96.88371529040863,96.5100729045339,317.30941233738133,9198.928237012144,7295.071762987856,7933.333333333333,27522201000,0,1.2646788984578838,55.84362972247666,0,-100
28,2019-01-08,8050,8550,8050,8210,10800368,2.679658952496955,7930.0,8240.0,8276.551724137931,103.53089533417403,99.63592233009709,99.1959003416382,316.4606901671235,9189.382070501371,7290.61792949863,8103.333333333333,87518982026,0,1.2576395771589144,55.70595013848793,0,-100
29,2019-01-09,8280,8360,8150,8230,3151678,0.24301336573511542,8022.0,8204.5,8275.0,102.59286960857641,100.31080504601132,99.45619335347432,270.25280562348985,9015.258416870469,7393.74158312953,8220.0,25906793160,0,1.5298904578575216,60.472596870978116,0,-100
30,2019-01-10,8280,8320,7990,7990,3287796,-3.0037546933667083,8038.0,8186.5,8265.806451612903,99.40283652649913,97.59970683442253,96.66328442085545,272.034730754809,9002.604192264427,7370.395807735573,8086.666666666667,0,26587310320,1.7976984128093099,64.25633315508622,0,-100
31,2019-01-11,8010,8340,7990,8320,4477260,3.9663461538461537,8148.0,8194.5,8267.5,102.1109474717722,101.53151504057601,100.63501663138797,273.5627513887221,9015.188254166167,7373.811745833834,8106.666666666667,36295654400,0,1.7951187094402754,64.22334419562986,0,-100
32,2019-01-14,8400,8500,8270,8470,4729597,1.770956316410862,8244.0,8230.5,8273.636363636364,102.7413876758855,102.90990826802746,102.37336556422372,258.97520710434105,9007.425621313023,7453.574378686977,8380.0,39634022860,0,1.679750653672798,62.68309521151061,0,-100
33,2019-01-15,8530,8750,8410,8600,6668872,1.5116279069767442,8322.0,8231.5,8283.235294117647,103.34054313866858,104.47670533924558,103.82416645953911,260.4303119232102,9012.79093576963,7450.209064230369,8513.333333333334,56774330293,0,1.4984564796798039,59.97528841774512,0,-100
34,2019-01-16,8750,9040,8540,8910,11477789,3.479236812570146,8458.0,8248.0,8301.142857142857,105.34405296760463,108.02618816682832,107.33461829696427,292.18955635358503,9124.568669060754,7371.431330939245,8733.333333333334,100239357266,0,1.6181009153844175,61.80437529646677,0,-100
35,2019-01-17,9020,9150,8510,8540,8014965,-4.332552693208431,8568.0,8267.0,8307.777777777777,99.67320261437908,103.30228619813717,102.7952387321118,298.45391075022775,9162.361732250683,7371.638267749317,8690.0,0,69650045850,1.6354673218353586,62.05606528622815,0,-100
36,2019-01-18,8630,8870,8450,8660,6037797,1.3856812933025404,8636.0,8284.0,8317.297297297297,100.27790643816581,104.53887011105746,104.1203613439917,311.04915840967664,9217.14747522903,7350.85252477097,8580.0,0,51804298260,1.5543964312429142,60.851808757287465,0,-100
37,2019-01-21,8710,8730,8430,8440,3954624,-2.6066350710900474,8630.0,8292.5,8320.526315789473,97.7983777520278,101.77871570696414,101.43589094819407,312.9633407151366,9231.39002214541,7353.60997785459,8526.666666666666,0,33719760639,1.2921912769935173,56.3736233517292,0,-100
38,2019-01-22,8460,8620,8400,8410,3043966,-0.356718192627824,8592.0,8292.5,8322.820512820514,97.88175046554935,101.41694302080194,101.04747527650267,312.9633407151366,9231.39002214541,7353.60997785459,8423.333333333334,0,25640340273,1.3853663823487237,58.07771890306589,0,-100
39,2019-01-23,8390,8570,8360,8500,2322620,1.0588235294117647,8510.0,8289.0,8327.25,99.88249118683902,102.54554228495596,102.07451439550871,310.07469388757505,9219.224081662725,7358.775918337275,8416.666666666666,0,19548718333,1.7673327634441651,63.86412168389101,0,-100
40,2019-01-24,8570,8630,8450,8470,2456999,-0.3541912632821724,8496.0,8282.5,8330.731707317073,99.6939736346516,102.26380923634169,101.67174142171216,304.52508322926235,9196.075249687787,7368.924750312213,8496.666666666666,20876301503,0,1.7394440122355475,63.49624246622434,0,-100
41,2019-01-25,8510,8650,8450,8530,2677695,0.7033997655334115,8470.0,8303.5,8335.47619047619,100.70838252656435,102.72776540013247,102.33368562369675,306.4787276897298,9222.936183069189,7384.06381693081,8496.666666666666,0,22751481850,1.4707351439673912,59.52621621780768,0,-100
42,2019-01-28,8560,8640,8470,8600,2429595,0.813953488372093,8502.0,8326.5,8341.627906976744,101.1526699600094,103.28469344862788,103.09738214056708,310.79312801452426,9258.879384043572,7394.120615956427,8543.333333333334,20756839950,0,1.2033678262560334,54.6149313753391,0,-100
43,2019-01-29,8620,8660,8250,8280,3703373,-3.864734299516908,8476.0,8330.0,8340.227272727272,97.6875884851345,99.39975990396158,99.27787012562335,309.80469229567984,9259.41407688704,7400.585923112961,8383.333333333334,0,31046610316,0.9780157040143332,49.44428408882067,0,-100
44,2019-01-30,8400,8620,8390,8490,3795018,2.4734982332155475,8474.0,8366.0,8343.555555555555,100.18881283927308,101.48218981592159,101.75518031215043,281.88090056841935,9211.642701705257,7520.357298294742,8426.666666666666,31979351679,0,1.206147086905899,54.6721065909304,0,-100
45,2019-01-31,8560,8570,8280,8450,2220834,-0.4733727810650888,8470.0,8393.0,8345.869565217392,99.76387249114522,100.67913737638507,101.24768826026933,260.992034562864,9175.976103688592,7610.023896311408,8430.0,18721630620,0,1.1370019147041983,53.2054700971843,0,-100
46,2019-02-01,8520,10300,8510,9920,51712415,14.818548387096776,8748.0,8500.5,8379.36170212766,113.39734796524921,116.6990177048409,118.38610568011578,397.80284722857175,9693.908541685716,7307.091458314285,8983.333333333334,464549861416,0,2.8088375282204034,73.74527024083308,1,0
47,2019-02-07,10250,10750,10000,10150,17577095,2.2660098522167487,9058.0,8608.5,8416.25,112.05564142194744,117.90672010222454,120.60002970444081,524.8385716730339,10183.0157150191,7033.984284980898,10133.333333333334,178114562666,0,3.2862518851973044,76.66959323007757,0,-100
48,2019-02-08,9930,10600,9920,10350,16646066,1.932367149758454,9472.0,8715.5,8455.714285714286,109.26942567567568,118.7539441225403,122.4024328433857,643.9473254038238,10647.341976211472,6783.658023788528,10066.666666666666,0,167570397733,1.7428109608631297,63.5410528006162,0,-100
49,2019-02-11,10300,10400,9930,9930,8062576,-4.229607250755287,9760.0,8800.5,8485.2,101.74180327868851,112.8344980398841,117.02729458351011,687.2330103584354,10862.199031075306,6738.800968924694,10053.333333333334,0,81055764053,1.6969178747185694,62.92063583492128,0,-100
50,2019-02-12,9920,10150,9490,9690,9564475,-2.476780185758514,10008.0,8885.5,8508.823529411764,96.82254196642685,109.05407686680546,113.88178361562393,686.8423169993639,10946.026950998092,6824.973049001908,9700.0,0,92775407500,1.5502750483464423,60.78854315543792,0,-100
51,2019-02-13,9750,9760,9590,9690,4372253,0.0,9962.0,8954.0,8531.538461538461,97.26962457337885,108.21979003797186,113.57857722477685,695.7343715740052,11041.203114722015,6866.796885277985,9676.666666666666,0,42308834863,1.5226896020931626,60.359768432459326,0,-100
52,2019-02-14,9780,9790,9250,9330,6460708,-3.858520900321544,9798.0,8997.0,8546.603773584906,95.22351500306185,103.70123374458153,109.16616994502948,690.8050223814031,11069.41506714421,6924.584932855791,9453.333333333334,0,61075226293,1.4185534233277137,58.65297039318283,0,-100
53,2019-02-15,9260,9630,9250,9470,6044547,1.478352692713833,9622.0,9040.5,8563.703703703704,98.42028684265226,104.75084342680161,110.5829945506444,691.8813025672163,11116.14390770165,6964.856092298351,9326.666666666666,0,56375475020,1.3244190761690626,56.97849797171142,0,-100
54,2019-02-18,9590,9650,9420,9510,3490903,0.4206098843322818,9538.0,9070.5,8580.90909090909,99.70643740826169,104.84537787332562,110.82741815870327,698.897439957359,11167.192319872076,6973.807680127923,9506.666666666666,33186851186,0,1.3466018775995419,57.38518708495407,0,-100
55,2019-02-19,9550,9740,9390,9400,5374422,-1.1702127659574468,9480.0,9113.5,8595.535714285714,99.15611814345992,103.14368793548032,109.35909421418926,690.951098886625,11186.353296659876,7040.646703340125,9446.666666666666,0,50770373160,1.2818819638287926,56.17652377066472,0,-100
56,2019-02-20,9730,9800,9300,9330,7189173,-0.7502679528403001,9408.0,9147.0,8608.421052631578,99.17091836734694,102.0006559527714,108.38224504768891,684.0136963848812,11199.041089154643,7094.9589108453565,9453.333333333334,67961648760,0,1.3628538042902276,57.67829570393638,0,-100
57,2019-02-21,9380,9430,8800,9020,6049380,-3.436807095343681,9346.0,9176.0,8615.51724137931,96.51187673871175,98.29991281604184,104.69481689013409,664.4776341727332,11169.4329025182,7182.5670974818,9066.666666666666,0,54847712000,1.3093954417134115,56.698624153424795,0,-100
58,2019-02-22,8990,9250,8970,9050,3869728,0.3314917127071823,9262.0,9208.0,8622.881355932202,97.71107752105377,98.28410078192876,104.95331695331696,640.6296245019247,11129.888873505774,7286.1111264942265,9003.333333333334,0,34840451093,1.1884526362219894,54.30561377255399,0,-100
59,2019-02-25,9110,9160,8740,8950,5214863,-1.1173184357541899,9150.0,9230.5,8628.333333333334,97.81420765027322,96.96116136720654,103.72802781533706,622.0887988737733,11096.76639662132,7364.23360337868,8933.333333333334,0,46586109466,1.0808002152722131,51.94156591005646,0,-100
60,2019-02-26,9070,9600,9020,9320,12627126,3.969957081545064,9134.0,9273.0,8649.0,102.03634771184585,100.50684783780869,107.7581223262805,595.8814788547375,11060.644436564213,7485.355563435787,9136.666666666666,115369841219,0,0.5734228508753197,36.44429407875421,0,-100
61,2019-02-27,9410,9580,9240,9320,6095406,0.0,9132.0,9312.5,8664.333333333334,102.05869469995619,100.08053691275167,107.56742199823029,569.6432401535502,11021.42972046065,7603.57027953935,9323.333333333334,56829501940,0,0.3971891293205842,28.42772828569936,0,-100
62,2019-02-28,9360,9400,7070,7310,15421223,-27.49658002735978,8790.0,9248.0,8651.666666666666,83.16268486916951,79.04411764705883,84.4923906761703,710.24532455528,11378.73597366584,7117.26402633416,7913.333333333333,0,122033278006,0.4253324804208455,29.840930888999395,0,-100
63,2019-03-04,6800,7360,6610,7050,12144236,-3.6879432624113475,8390.0,9186.5,8632.333333333334,84.02860548271752,76.74304686224352,81.66969147005445,839.8952002294241,11706.185600688272,6666.814399311728,6820.0,0,82823689520,0.4241656376711557,29.783448389104933,0,-100
64,2019-03-05,7000,7130,6820,7010,6283337,-0.5706134094151213,8002.0,9112.5,8607.833333333334,87.6030992251937,76.9272976680384,81.43745038433984,960.9637432231648,11995.391229669494,6229.608770330506,6943.333333333333,43627303236,0,0.5745830509791809,36.49112383255153,0,-100
65,2019-03-06,6980,7110,6710,6740,3753242,-4.005934718100891,7486.0,9027.0,8578.333333333334,90.03473149879775,74.66489420627008,78.57004080046627,1090.3698068955673,12298.109420686702,5755.890579313298,6810.0,0,25559578020,0.5925744982287512,37.20858891611085,0,-100
66,2019-03-07,6600,6700,6350,6400,4511137,-5.3125,6902.0,8851.0,8541.666666666666,92.7267458707621,72.30821376115692,74.92682926829268,1215.5436297350564,12497.63088920517,5204.369110794831,6450.0,0,29096833650,0.6302526007553015,38.65981262433217,0,-100
67,2019-03-08,6330,6560,6260,6350,3353952,-0.7874015748031495,6710.0,8661.0,8505.5,94.63487332339791,73.31716891813878,74.65757451061079,1296.1274303823197,12549.38229114696,4772.61770885304,6313.333333333333,0,21174616960,0.6776844674990858,40.39403598397177,0,-100
68,2019-03-11,6390,6470,6240,6420,2307717,1.0903426791277258,6584.0,8464.5,8473.333333333334,97.50911300121507,75.846181109339,75.76711250983476,1324.1898218195633,12437.06946545869,4491.93053454131,6350.0,14654002950,0,0.6380617288300304,38.95223956460785,0,-100
69,2019-03-12,6480,6840,6450,6710,4922521,4.321907600596125,6524.0,8303.5,8436.166666666666,102.8510116492949,80.80929728427772,79.53849497204497,1332.3555515662754,12300.566654698825,4306.433345301174,6546.666666666667,32226104146,0,0.793041546109336,44.22884387872282,0,-100
70,2019-03-13,6680,6750,6530,6620,2057180,-1.3595166163141994,6500.0,8150.0,8407.333333333334,101.84615384615385,81.22699386503068,78.74078185710887,1341.0286703634793,12173.086011090438,4126.913988909562,6610.0,13597959800,0,0.6626611902859212,39.85545546846895,0,-100
