,날짜,시가,고가,저가,종가,거래량,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch,label
0,2018-11-26,6540,6540,6330,6490,5313,,6490.0,6490.0,6490.0,100.0,100.0,100.0,,,,6453.333333333333,0,0,,,0,-100
1,2018-11-27,6400,6530,6400,6500,6785,0.15384615384615385,6495.0,6495.0,6495.0,100.07698229407237,100.07698229407237,100.07698229407237,7.0710678118654755,6516.213203435596,6473.786796564404,6433.333333333333,0,43650166,,,0,-100
2,2018-11-28,6500,6510,6410,6500,7002,0.0,6496.666666666667,6496.666666666667,6496.666666666667,100.05130836326322,100.05130836326322,100.05130836326322,5.773502691896192,6513.987174742356,6479.346158590978,6470.0,45302940,0,,,0,-100
3,2018-11-29,6500,6500,6310,6440,8106,-0.9316770186335404,6482.5,6482.5,6482.5,99.34438873891246,99.34438873891246,99.34438873891246,28.722813232690207,6568.668439698071,6396.331560301929,6416.666666666667,0,52013500,,,0,-100
4,2018-11-30,6330,6400,6240,6360,7623,-1.257861635220126,6458.0,6458.0,6458.0,98.48250232270053,98.48250232270053,98.48250232270053,60.166435825965316,6638.499307477896,6277.500692522104,6310.0,0,48101130,,,0,-100
5,2018-12-03,6260,6390,6250,6380,17645,0.3134796238244514,6436.0,6445.0,6445.0,99.12989434431324,98.99146625290923,98.99146625290923,62.52999280345394,6632.589978410362,6257.410021589638,6296.666666666667,0,111104683,,,0,-100
6,2018-12-04,6400,6490,6350,6450,5871,1.0852713178294573,6426.0,6445.714285714285,6445.714285714285,100.3734827264239,100.06648936170212,100.06648936170212,57.11308748355987,6617.053548164965,6274.375023263606,6400.0,37574400,0,,,0,-100
7,2018-12-05,6450,6870,6380,6840,71544,5.701754385964912,6494.0,6495.0,6495.0,105.32799507237449,105.31177829099308,105.31177829099308,149.09249286456864,6942.277478593706,6047.722521406294,6556.666666666667,469090160,0,,,0,-100
8,2018-12-06,6910,7960,6910,7390,293096,7.442489851150203,6684.0,6594.444444444444,6594.444444444444,110.56253740275284,112.06402695871947,112.06402695871947,329.32169345152136,7582.409524799008,5606.479364089881,7070.0,2072188720,0,,,0,-100
9,2018-12-07,7360,7400,7210,7250,30168,-1.9310344827586208,6862.0,6660.0,6660.0,105.65432818420287,108.85885885885887,108.85885885885887,373.33333333333337,7780.0,5540.0,7273.333333333333,219421920,0,,,0,-100
10,2018-12-10,7250,7440,6900,7050,35529,-2.8368794326241136,6996.0,6695.454545454545,6695.454545454545,100.77186963979416,105.29531568228107,105.29531568228107,373.18530615134455,7815.0104639085785,5575.898627000512,7066.666666666667,0,251071600,,,0,-100
11,2018-12-11,7020,7120,6790,6900,21222,-2.1739130434782608,7086.0,6712.5,6712.5,97.37510584250634,102.79329608938548,102.79329608938548,360.6843243310996,7794.552972993299,5630.447027006701,6903.333333333333,0,146502540,,,0,-100
12,2018-12-12,6860,7060,6700,6780,25330,-1.7699115044247788,7074.0,6717.692307692308,6717.692307692308,95.84393553859204,100.9275163174167,100.9275163174167,345.8360364429423,7755.200417021135,5680.18419836348,6780.0,0,171737400,,,0,-100
13,2018-12-13,6820,6980,6640,6980,21708,2.865329512893983,6992.0,6736.428571428572,6736.428571428572,99.8283752860412,103.61573534089703,103.61573534089703,339.5836170474557,7755.179422570938,5717.677720286205,6813.333333333333,147903840,0,3.6296419245733684,78.40005736313717,0,-100
14,2018-12-14,7110,7270,6980,7140,65387,2.2408963585434174,6970.0,6763.333333333333,6763.333333333333,102.4390243902439,105.56924593395762,105.56924593395762,343.4211630608913,7793.596822516007,5733.069844150659,7076.666666666667,462722003,0,4.191074416141098,80.73616519750506,0,-100
15,2018-12-17,7080,7120,6780,6780,22063,-5.3097345132743365,6916.0,6764.375,6764.375,98.03354540196646,100.23098955927192,100.23098955927192,331.8025266128435,7759.78257983853,5768.96742016147,6880.0,0,151793440,3.704938301977722,78.74573616449658,0,-100
16,2018-12-18,6900,6900,6720,6800,11234,0.29411764705882354,6896.0,6766.470588235294,6766.470588235294,98.60788863109049,100.49552290706774,100.49552290706774,321.38258307799197,7730.61833746927,5802.322839001317,6806.666666666667,0,76466093,3.379196600511615,77.16476122850544,0,-100
17,2018-12-19,6800,6980,6620,6800,6906,0.0,6900.0,6768.333333333333,6768.333333333333,98.55072463768117,100.46786505786753,100.46786505786753,311.8870459184939,7703.994471088815,5832.672195577851,6740.0,0,46546440,3.3976096784178624,77.26037385928775,0,-100
18,2018-12-20,6800,6880,6670,6760,6842,-0.591715976331361,6856.0,6767.894736842105,6767.894736842105,98.59976662777129,99.88335018275139,99.88335018275139,303.1057561565018,7677.2120053116105,5858.5774683725995,6743.333333333333,46137886,0,3.617000257602892,78.34091522188496,0,-100
19,2018-12-21,6820,6820,6610,6700,5352,-0.8955223880597015,6768.0,6764.5,6764.5,98.99527186761229,99.04649271934363,99.04649271934363,295.4118445403584,7650.735533621075,5878.264466378925,6710.0,0,35911920,3.9260492881719333,79.69975650870717,0,-100
20,2018-12-24,6860,6860,6600,6690,2431,-0.14947683109118087,6750.0,6774.5,6760.952380952381,99.11111111111111,98.75267547420475,98.95055641639668,288.9449956761941,7641.334987028582,5907.665012971418,6716.666666666667,16328216,0,3.9019067047499534,79.5997749400045,0,-100
21,2018-12-26,6390,6600,6390,6600,9519,-1.3636363636363635,6710.0,6779.5,6753.636363636364,98.36065573770492,97.3523121174128,97.72513124242832,284.7801552814123,7633.840465844237,5925.159534155763,6460.0,0,61492740,3.1488398999181086,75.89687661797366,0,-100
22,2018-12-27,6650,6650,6490,6580,8334,-0.303951367781155,6666.0,6783.5,6746.086956521739,98.70987098709871,97.00007370826269,97.53802526424337,281.1868642585905,7627.0605927757715,5939.9394072242285,6573.333333333333,54782160,0,1.0061324652414745,50.152842978909085,0,-100
23,2018-12-28,6580,6640,6490,6610,13059,0.45385779122541603,6636.0,6792.0,6740.416666666667,99.60819770946352,97.32037691401649,98.06515423131607,272.69802075980647,7610.09406227942,5973.90593772058,6560.0,0,85667040,0.7086076214470527,41.47281169487698,0,-100
24,2019-01-02,6670,6670,6460,6540,4659,-1.0703363914373087,6604.0,6801.0,6732.4,99.03089036947304,96.16232906925453,97.14217812370032,260.38231001437305,7582.146930043119,6019.853069956881,6556.666666666667,0,30547510,0.9023249973830838,47.432746698085715,0,-100
25,2019-01-03,6490,6530,6380,6420,9784,-1.8691588785046727,6550.0,6803.0,6720.384615384615,98.01526717557252,94.37013082463619,95.53024666628512,257.1114851372332,7574.334455411699,6031.665544588301,6430.0,0,62911120,1.0066388833947126,50.16542297295369,0,-100
26,2019-01-04,6420,6420,5960,6150,62218,-4.390243902439024,6460.0,6788.0,6699.259259259259,95.20123839009288,90.60106069534473,91.80119416187527,285.92601177669434,7645.778035330083,5930.221964669917,6176.666666666667,0,384299846,0.7779456851661254,43.755312192983936,0,-100
27,2019-01-07,6190,6260,6140,6180,22164,0.48543689320388345,6380.0,6755.0,6680.714285714285,96.8652037617555,91.48778682457439,92.50507858441142,316.1029146205061,7703.308743861518,5806.691256138482,6170.0,0,136751880,0.5408212786008263,35.09954633362345,0,-100
28,2019-01-08,6180,6250,6100,6190,10858,0.16155088852988692,6296.0,6695.0,6663.793103448276,98.3163913595934,92.4570575056012,92.89003880983182,302.83745857438026,7603.512375723141,5786.487624276859,6156.666666666667,0,66849086,0.10291822523707016,9.331446600671427,0,-100
29,2019-01-09,6190,6280,6180,6280,16329,1.4331210191082804,6244.0,6646.5,6651.0,100.5765534913517,94.48581960430302,94.4218914448955,286.5084732833532,7506.02541985006,5786.97458014994,6216.666666666667,101511950,0,0.22154196491258096,18.13625493647575,0,-100
30,2019-01-10,6250,6300,6190,6290,11537,0.1589825119236884,6218.0,6608.5,6639.354838709677,101.15792859440333,95.18044942119997,94.73812068797979,280.5122194542654,7450.0366583627965,5766.9633416372035,6243.333333333333,72029336,0,0.3192060416696401,24.196829880011776,0,-100
31,2019-01-11,6300,6320,6100,6180,36007,-1.779935275080906,6224.0,6572.5,6625.0,99.293059125964,94.02814758463293,93.28301886792453,287.253326672139,7434.259980016417,5710.740019983583,6193.333333333333,0,223003353,0.2674087950465467,21.09885903361794,0,-100
32,2019-01-14,6160,6240,6150,6230,28778,0.8025682182985553,6234.0,6545.0,6613.030303030303,99.9358357394931,95.18716577540107,94.20794574531457,292.619746068979,7422.859238206937,5667.140761793063,6180.0,0,177848040,0.1933573373791965,16.202802909297915,0,-100
33,2019-01-15,6230,6300,6180,6240,17911,0.16025641025641024,6244.0,6508.0,6602.058823529412,99.93593850096092,95.8819913952059,94.51597095380228,281.28651809704274,7351.859554291128,5664.140445708872,6216.666666666667,111346716,0,0.28957775113243617,22.45523783875342,0,-100
34,2019-01-16,6240,6320,6180,6290,17301,0.7949125596184419,6246.0,6465.5,6593.142857142857,100.70445084854308,97.2855927615807,95.4021494193101,242.28028570666936,7192.340857120008,5738.659142879992,6236.666666666667,107900570,0,0.36406493415331875,26.689706995458792,0,-100
35,2019-01-17,6290,6310,6230,6270,21386,-0.3189792663476874,6242.0,6440.0,6584.166666666667,100.44857417494393,97.36024844720497,95.22845209467155,234.13896008904416,7142.416880267132,5737.583119732868,6263.333333333333,133947646,0,0.49792738645725265,33.241089718968325,0,-100
36,2019-01-18,6270,6350,6210,6270,26721,0.0,6260.0,6413.5,6575.675675675676,100.15974440894568,97.7625321587277,95.35141800246609,220.86611805630858,7076.098354168926,5750.901645831074,6250.0,0,167006250,0.3945932145983083,28.29450268851086,0,-100
37,2019-01-21,6260,6270,6150,6220,41543,-0.8038585209003215,6258.0,6384.5,6566.315789473684,99.39277724512624,97.42344741170021,94.72587367746073,204.95121370706758,6999.353641121203,5769.646358878797,6210.0,0,257982030,0.3494801799959921,25.89739257949161,0,-100
38,2019-01-22,6160,6220,6160,6200,16317,-0.3225806451612903,6250.0,6356.5,6556.923076923077,99.2,97.537953276174,94.55654622243078,188.54777420562363,6922.143322616871,5790.856677383129,6173.333333333333,0,100730280,0.3339306879386408,25.033586149417772,0,-100
39,2019-01-23,6190,6220,6070,6220,27655,0.3215434083601286,6236.0,6332.5,6548.5,99.74342527261065,98.22345045400711,94.98358402687639,172.37886669835902,6849.636600095077,5815.363399904923,6160.0,0,170354800,0.31263546146392907,23.817386520645982,0,-100
