,날짜,시가,고가,저가,종가,거래량,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch,label
0,2020-07-13,11650,15100,10950,15100,20758625,,15100.0,15100.0,15100.0,100.0,100.0,100.0,,,,12566.666666666666,0,0,,,0,-100
1,2020-07-14,18200,19600,18150,19600,3322501,22.95918367346939,17350.0,17350.0,17350.0,112.96829971181556,112.96829971181556,112.96829971181556,3181.9805153394636,26895.94154601839,7804.058453981608,18650.0,61964643650,0,,,0,-100
2,2020-07-15,24100,24700,20250,20400,22357139,3.9215686274509802,18366.666666666668,18366.666666666668,18366.666666666668,111.07078039927404,111.07078039927404,111.07078039927404,2857.15476187996,26938.13095230655,9795.202381026787,21583.333333333332,482541583416,0,,,0,-100
3,2020-07-16,19800,22850,18650,20450,10472823,0.24449877750611246,18887.5,18887.5,18887.5,108.27266710787558,108.27266710787558,108.27266710787558,2554.8564865108697,26552.06945953261,11222.93054046739,19633.333333333332,0,205616424900,,,0,-100
4,2020-07-17,19750,21500,19500,20000,2921113,-2.25,19110.0,19110.0,19110.0,104.65724751439036,104.65724751439036,104.65724751439036,2267.818334876054,25913.455004628162,12306.544995371838,19750.0,57691981750,0,,,0,-100
5,2020-07-20,19800,20650,18550,18600,1757660,-7.526881720430108,19810.0,19025.0,19025.0,93.891973750631,97.76609724047306,97.76609724047306,2039.0561542046848,25142.168462614056,12907.831537385946,18983.333333333332,0,33366245666,,,0,-100
6,2020-07-21,18300,22850,17600,19900,10567079,6.532663316582915,19870.0,19150.0,19150.0,100.15098137896325,103.91644908616189,103.91644908616189,1890.5466581564883,24821.639974469465,13478.360025530535,18600.0,0,196547669400,,,0,-100
7,2020-07-22,19450,21750,18950,19700,3744980,-1.015228426395939,19730.0,19218.75,19218.75,99.84794728839331,102.50406504065042,102.50406504065042,1761.0746516179909,24501.973954853973,13935.526045146027,19366.666666666668,72527779333,0,,,0,-100
8,2020-07-23,20350,20750,19550,19700,2122541,0.0,19580.0,19272.222222222223,19272.222222222223,100.61287027579162,102.21965984433554,102.21965984433554,1655.1267155249607,24237.602368797103,14306.84207564734,19866.666666666668,42167814533,0,,,0,-100
9,2020-07-24,19350,20250,18850,18850,1445204,-4.509283819628647,19350.0,19230.0,19230.0,97.41602067183463,98.02392095683827,98.02392095683827,1566.170134081508,23928.510402244523,14531.489597755477,19016.666666666668,0,27482962733,,,0,-100
10,2020-07-27,18850,19300,17900,17900,834847,-5.307262569832402,19210.0,19109.090909090908,19109.090909090908,93.18063508589276,93.67269267364415,93.67269267364415,1538.9636418411874,23725.98183461447,14492.199983567345,18216.666666666668,0,15208129516,,,0,-100
11,2020-07-28,18550,19300,17000,17250,1236769,-3.768115942028986,18680.0,18954.166666666668,18954.166666666668,92.34475374732334,91.00901296988349,91.00901296988349,1562.4075730238967,23641.38938573836,14266.943947594977,17600.0,0,21767134400,,,0,-100
12,2020-07-29,17200,17450,16450,16550,696525,-4.229607250755287,18050.0,18769.23076923077,18769.23076923077,91.68975069252078,88.17622950819673,88.17622950819673,1637.775226429955,23682.556448520634,13855.905089940905,16733.333333333332,0,11655185000,,,0,-100
13,2020-07-30,16750,17650,16500,16800,798613,1.488095238095238,17470.0,18628.571428571428,18628.571428571428,96.16485403548941,90.1840490797546,90.1840490797546,1659.2067481079716,23606.191672895344,13650.951184247513,16683.333333333332,0,13323526883,1.3655971182301625,57.72737494928314,0,-100
14,2020-07-31,16800,17250,16500,16500,406011,-1.8181818181818181,17000.0,18486.666666666668,18486.666666666668,97.05882352941177,89.25351604760186,89.25351604760186,1690.6747033007111,23558.6907765688,13414.642556764535,16600.0,0,6739782600,1.3482871587252965,57.415770201510504,0,-100
15,2020-08-03,16550,18900,16150,17150,2987111,3.7900874635568513,16850.0,18403.125,18403.125,101.78041543026706,93.19069451519782,93.19069451519782,1667.1801292401874,23404.66538772056,13401.584612279437,16616.666666666668,49635827783,0,1.3250999250603148,56.99109577090287,0,-100
16,2020-08-04,17400,18350,17350,17800,1034617,3.651685393258427,16960.0,18367.647058823528,18367.647058823528,104.95283018867924,96.90952762209768,96.90952762209768,1620.8544406105852,23230.210380655284,13505.083736991772,17516.666666666668,18123041116,0,0.4516517873941458,31.112956379498158,0,-100
17,2020-08-05,18150,18250,17500,17600,365194,-1.1363636363636365,17170.0,18325.0,18325.0,102.5043680838672,96.043656207367,96.043656207367,1582.8353189952572,23073.50595698577,13576.494043014229,17750.0,6482193500,0,0.7563192886815946,43.06274454511834,0,-100
18,2020-08-06,17600,17600,17100,17200,429924,-2.3255813953488373,17250.0,18265.78947368421,18265.78947368421,99.71014492753623,94.16510589252269,94.16510589252269,1559.7411316179403,22945.01286853803,13586.56607883039,17300.0,0,7437685200,0.5664785990978605,36.162549518652675,0,-100
19,2020-08-07,17450,17800,16900,16950,675808,-1.4749262536873156,17340.0,18200.0,18200.0,97.75086505190312,93.13186813186813,93.13186813186813,1546.3879815472178,22839.163944641652,13560.836055358346,17100.0,0,11556316800,0.6061132765709498,37.737890932886195,0,-100
20,2020-08-10,17000,17050,16300,16550,328279,-2.416918429003021,17220.0,18272.5,18121.428571428572,96.10917537746806,90.57326583663976,91.3283405597162,1422.421489832334,22539.764469497,14005.235530502998,16616.666666666668,0,5454902716,1.5663061222420394,61.03348734069358,0,-100
21,2020-08-11,16450,16700,16350,16400,231564,-0.9146341463414633,16940.0,18112.5,18043.18181818182,96.81227863046044,90.54520358868186,90.89305957929209,1445.03460166184,22447.60380498552,13777.39619501448,16400.0,0,3797649600,0.9355876262930448,48.33610287563382,0,-100
22,2020-08-12,16450,18050,16300,17150,1467684,4.373177842565598,16850.0,17950.0,18004.347826086956,101.78041543026706,95.54317548746518,95.25476937937697,1354.1359645642337,22012.4078936927,13887.592106307298,16633.333333333332,24412477200,0,0.7928865338401262,44.22402192635514,0,-100
23,2020-08-13,17200,17400,16550,16600,523872,-3.313253012048193,16730.0,17757.5,17945.833333333332,99.22295277943813,93.48162748134591,92.50058045042954,1249.6604802063096,21506.48144061893,14008.518559381071,16783.333333333332,8792318400,0,1.1083712749605608,52.5700235116936,0,-100
24,2020-08-14,16700,16900,16350,16450,271883,-0.911854103343465,16630.0,17580.0,17886.0,98.91761876127481,93.57224118316269,91.97137425919713,1163.5245909237156,21070.573772771146,14089.426227228854,16500.0,0,4486069500,1.2462077882059213,55.480521203307084,0,-100
25,2020-08-18,16200,16500,14850,15000,407168,-9.666666666666666,16320.0,17400.0,17775.0,91.91176470588235,86.20689655172413,84.38818565400844,1270.9300365853048,21212.790109755915,13587.209890244085,15350.0,0,6250028800,1.5197187373572292,60.313030769107364,0,-100
26,2020-08-19,15050,15450,14500,14550,270559,-3.0927835051546393,15950.0,17132.5,17655.555555555555,91.22257053291536,84.92630964541077,82.41032095657647,1280.0364920784946,20972.609476235484,13292.390523764516,14700.0,0,3977217300,1.7048625446006118,63.029544625246174,0,-100
27,2020-08-20,14750,14750,13450,13550,397043,-7.380073800738007,15230.0,16825.0,17508.928571428572,88.96913985554826,80.53491827637444,77.38908720040794,1366.5650368716388,20924.695110614917,12725.304889385083,13916.666666666666,0,5525515083,1.94559586996972,66.05101160702402,0,-100
28,2020-08-21,13750,17600,13400,14800,6244731,8.445945945945946,14870.0,16580.0,17415.51724137931,99.52925353059851,89.26417370325693,84.98168498168498,1259.0096358479059,20357.028907543718,12802.971092456282,13983.333333333334,87322155150,0,4.017045820158323,80.0679516224063,0,-100
29,2020-08-24,15050,17600,14200,16900,4567509,12.42603550295858,14960.0,16482.5,17398.333333333332,112.96791443850267,102.53298953435461,97.13574097135742,1144.2390024539557,19915.21700736187,13049.782992638133,15383.333333333334,70263513450,0,4.442487129274986,81.6260474991107,0,-100
30,2020-08-25,17000,18300,16550,16950,1897483,0.2949852507374631,15350.0,16435.0,17383.870967741936,110.42345276872965,103.13355643443869,97.50417517164594,1101.2074712500016,19738.622413750003,13131.377586249995,16833.333333333332,31940963833,0,4.727478631709896,82.540310242913,0,-100
31,2020-08-26,17100,17900,16400,17900,1242277,5.307262569832402,16020.0,16467.5,17400.0,111.73533083645444,108.69895248216184,102.87356321839081,1135.5818123902654,19874.245437170797,13060.754562829203,17133.333333333332,21284345933,0,5.032769647410921,83.42386567951971,0,-100
32,2020-08-27,19850,21200,17450,17500,3066634,-2.2857142857142856,16810.0,16515.0,17403.030303030304,104.1046995835812,105.96427490160461,100.55720006965001,1158.8447060031642,19991.53411800949,13038.465881990507,18266.666666666668,56017181066,0,7.309373156137469,87.96539785601782,0,-100
33,2020-08-28,17600,18100,16950,16950,729742,-3.2448377581120944,17240.0,16522.5,17389.70588235294,98.31786542923435,102.58738084430323,97.47145877378436,1161.269155980456,20006.30746794137,13038.692532058632,17166.666666666668,0,12527237666,7.140476062364338,87.71570615355931,0,-100
34,2020-08-31,17000,17250,16250,16400,550562,-3.353658536585366,17140.0,16517.5,17361.428571428572,95.68261376896149,99.28863326774633,94.4622726898708,1161.5863698997262,20002.25910969918,13032.740890300822,16550.0,0,9111801100,6.568791363052256,86.78785089939734,0,-100
35,2020-09-01,16300,17850,16300,17200,921905,4.651162790697675,17190.0,16520.0,17356.944444444445,100.05817335660268,104.11622276029055,99.09578298791709,1163.0721568781728,20009.216470634517,13030.783529365483,16600.0,15303623000,0,7.529909763342316,88.27654655506971,0,-100
36,2020-09-02,17200,17600,17000,17050,355556,-0.8797653958944283,17020.0,16482.5,17348.64864864865,100.17626321974149,103.44304565448203,98.27854806044554,1131.286528924612,19876.359586773837,13088.640413226163,17083.333333333332,6074081666,0,7.092007936547307,87.64212779026661,0,-100
37,2020-09-03,17150,17900,17100,17450,613813,2.292263610315186,17010.0,16475.0,17351.315789473683,102.58671369782482,105.91805766312594,100.56874194282248,1123.9615089869367,19846.88452696081,13103.11547303919,17233.333333333332,10578044033,0,7.134649208811043,87.7069069073458,0,-100
38,2020-09-04,16650,17100,16500,16900,339675,-3.2544378698224854,17000.0,16460.0,17339.74358974359,99.41176470588235,102.67314702308627,97.46395563770794,1115.748509675046,19807.24552902514,13112.754470974862,16683.333333333332,0,5666911250,6.938988646226341,87.40393714411806,0,-100
39,2020-09-07,16750,17250,16500,16750,374416,-0.8955223880597015,17070.0,16450.0,17325.0,98.12536613942589,101.82370820668693,96.68109668109668,1112.0157136337607,19786.047140901283,13113.952859098717,16666.666666666668,0,6240266666,6.940562188402404,87.40643324397672,0,-100
40,2020-09-08,16900,17300,16700,16950,555052,1.1799410029498525,17020.0,16470.0,17315.853658536584,99.58871915393655,102.9143897996357,97.88717515317981,1117.4924937932208,19822.47748137966,13117.522518620339,16850.0,9352626200,0,7.886431453417816,88.7468889481459,0,-100
41,2020-09-09,16750,17850,16750,17250,1205550,1.7391304347826086,17060.0,16512.5,17314.285714285714,101.11371629542789,104.46631339894019,99.62871287128714,1130.774652965592,19904.823958896777,13120.176041103225,16916.666666666668,20393887500,0,9.793367310099104,90.73505078378716,0,-100
42,2020-09-10,17550,17950,17050,17100,681260,-0.8771929824561403,16990.0,16510.0,17309.302325581397,100.64743967039436,103.57359176256816,98.79081015719467,1129.3454089124195,19898.03622673726,13121.963773262742,17233.333333333332,11740380666,0,7.540303270106922,88.29081393982534,0,-100
43,2020-09-11,17300,17550,17100,17350,490625,1.440922190201729,17080.0,16547.5,17310.227272727272,101.5807962529274,104.84967517751926,100.22976432744699,1144.836807492428,19982.010422477284,13112.989577522716,17250.0,8463281250,0,5.698061780229456,85.07030790680848,0,-100
44,2020-09-14,17750,18100,17350,17450,942477,0.5730659025787965,17220.0,16597.5,17313.333333333332,101.335656213705,105.13631571019732,100.78937235271468,1162.0620284196186,20083.686085258858,13111.313914741144,17516.666666666668,16509055450,0,5.238042442451782,83.96932997450138,0,-100
45,2020-09-15,16400,16750,15800,15800,983261,-10.443037974683545,16990.0,16637.5,17280.434782608696,92.99587992937022,94.96619083395943,91.43288463957731,1117.077366212943,19988.73209863883,13286.26790136117,16000.0,0,15732176000,3.13387171183872,75.80960248146631,0,-100
46,2020-09-16,15750,15750,15000,15100,484908,-4.635761589403973,16560.0,16665.0,17234.042553191488,91.18357487922705,90.6090609060906,87.61728395061729,1068.705562326383,19871.11668697915,13458.883313020851,15283.333333333334,0,7411010600,1.736038378732568,63.4508050847139,0,-100
47,2020-09-17,14950,15400,14550,14700,267358,-2.7210884353741496,16080.0,16722.5,17181.25,91.4179104477612,87.90551651965914,85.55838486722445,911.6894381196538,19457.568314358963,13987.431685641039,14733.333333333334,0,3939074533,2.0459967239960237,67.17002378492035,0,-100
48,2020-09-18,14700,14900,14300,14550,184173,-1.0309278350515463,15520.0,16710.0,17127.551020408162,93.75,87.07360861759426,84.9508489722967,940.688437710429,19532.065313131287,13887.934686868713,14516.666666666666,0,2673578050,2.3621664156281703,70.25727235416558,0,-100
49,2020-09-21,14750,14850,14500,14500,142877,-0.3448275862068966,14930.0,16590.0,17075.0,97.1198928332217,87.40204942736588,84.9194729136164,1060.6105490905163,19771.83164727155,13408.168352728451,14583.333333333334,2083622916,0,2.044858620741724,67.15775263954944,0,-100
50,2020-09-22,15000,16450,14100,15750,1001477,7.936507936507936,14920.0,16530.0,17049.019607843136,105.56300268096514,95.28130671506352,92.38067855089133,1073.0428941247221,19749.12868237417,13310.871317625833,14950.0,14972081150,0,2.2584293149345256,69.31036694837451,0,-100
51,2020-09-23,16000,16050,14850,14850,409615,-6.0606060606060606,14870.0,16377.5,17006.73076923077,99.86550100874243,90.67317966722638,87.31836942387064,1084.7598570044897,19631.77957101347,13123.220428986531,15233.333333333334,6239801833,0,2.154302381695595,68.29726896815612,0,-100
52,2020-09-24,14800,15200,13500,13900,383795,-6.83453237410072,14710.0,16197.5,16948.11320754717,94.49354180829368,85.81571230128107,82.01502922349012,1182.9351319137363,19746.30539574121,12648.694604258792,14066.666666666666,0,5398716333,2.1682599956674937,68.43693379433911,0,-100
53,2020-09-25,13950,14500,13750,14000,209101,0.7142857142857143,14600.0,16050.0,16893.51851851852,95.89041095890411,87.22741433021807,82.87201973143328,1265.2230924561047,19845.669277368313,12254.330722631687,13900.0,0,2906503900,2.358177579451957,70.22194400561759,0,-100
