,날짜,시가,고가,저가,종가,거래량,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch,label
32,2019-01-14,113000,117000,111000,117000,17211,5.128205128205128,109400.0,106050.0,106954.54545454546,106.94698354661791,110.32531824611031,109.39226519337018,4504.0917070218675,119562.2751210656,92537.7248789344,113666.66666666667,1956317000,0,2.912512140458171,74.44097387815656,0,-100
33,2019-01-15,116500,118000,113000,117000,11241,0.0,111500.0,106225.0,107250.0,104.93273542600896,110.14356319133913,109.09090909090908,4862.51775805173,120812.55327415519,91637.44672584481,115500.0,1298335500,0,2.914014513711856,74.45078457178101,0,-100
34,2019-01-16,117000,120000,116000,119500,12049,2.092050209205021,114300.0,106525.0,107600.0,104.54943132108487,112.18023938042714,111.05947955390334,5480.76781021361,122967.30343064084,90082.69656935916,117500.0,1415757500,0,3.0128801305606907,75.08024243275173,0,-100
35,2019-01-17,119500,119500,112500,113000,14479,-5.752212389380531,115500.0,106850.0,107750.0,97.83549783549783,105.75573233504913,104.8723897911833,5668.704483946556,123856.11345183967,89843.88654816033,115000.0,0,1665085000,3.0785527436303335,75.4814988831088,0,-100
36,2019-01-18,114000,115500,113000,115500,9092,2.1645021645021645,116400.0,107275.0,107959.45945945945,99.22680412371135,107.66721044045677,106.98460383026662,5990.0685348860225,125245.20560465807,89304.79439534193,114166.66666666667,0,1038003333,2.3755743686973734,70.37541198104613,0,-100
37,2019-01-21,117500,117500,114000,116000,13509,0.43103448275862066,116200.0,107875.0,108171.05263157895,99.82788296041308,107.53186558516803,107.23756234034789,6240.519124829955,126596.55737448987,89153.44262551013,115833.33333333333,1564792500,0,2.5634064358588002,71.93696486774755,0,-100
38,2019-01-22,116500,117000,114000,115000,9420,-0.8695652173913043,115800.0,108400.0,108346.15384615384,99.3091537132988,106.08856088560886,106.14128505502308,6381.717307235857,127545.15192170757,89254.84807829243,115166.66666666667,0,1084870000,1.870695437854118,65.16523533588386,0,-100
39,2019-01-23,113500,118000,112500,116500,12594,1.2875536480686696,115200.0,108975.0,108550.0,101.12847222222223,106.90525349850884,107.32381391064025,6574.42212789759,128698.26638369277,89251.73361630723,114166.66666666667,0,1437815000,1.6993034370708882,62.95340545021733,0,-100
40,2019-01-24,117500,121500,116500,118500,14857,1.6877637130801686,116300.0,109675.0,108792.68292682926,101.89165950128978,108.04650102575792,108.92276650599709,6813.830748828753,130116.49224648626,89233.50775351374,117500.0,1745697500,0,2.256995937218891,69.2968606877082,0,-100
41,2019-01-25,118000,121000,117000,118000,11939,-0.423728813559322,116800.0,110575.0,109011.90476190476,101.02739726027397,106.7148993895546,108.24505842524846,6655.577399919242,130541.73219975772,90608.26780024228,117666.66666666667,1404822333,0,2.3866385637470793,70.47219592002845,0,-100
42,2019-01-28,119000,121500,117000,119500,14225,1.2552301255230125,117500.0,111500.0,109255.81395348837,101.70212765957447,107.17488789237667,109.37633035334184,6539.3545472574615,131118.06364177237,91881.93635822761,118500.0,1685662500,0,2.170200745655786,68.45625623644409,0,-100
43,2019-01-29,119000,121000,115000,116500,14261,-2.575107296137339,117800.0,112150.0,109420.45454545454,98.89643463497453,103.87873383860902,106.47003842558938,6345.533033062251,131186.59909918674,93113.40090081326,116833.33333333333,0,1666160166,1.5449330306131985,60.706235175113775,0,-100
44,2019-01-30,116500,129500,116000,128500,68571,9.33852140077821,120200.0,113350.0,109844.44444444444,106.90515806988353,113.3656815174239,116.98361319037022,7052.621759616101,134507.8652788483,92192.1347211517,120333.33333333333,8251377000,0,2.996123923133635,74.97575102185942,0,-100
45,2019-01-31,128500,128500,123500,127500,19061,-0.7843137254901961,122000.0,114625.0,110228.26086956522,104.50819672131149,111.23227917121045,115.66906616704466,7196.261821982737,136213.78546594823,93036.21453405179,126500.0,2411216500,0,3.1535386022156975,75.92414334450746,0,-100
46,2019-02-01,128500,135500,126000,134000,43375,4.850746268656716,125200.0,116250.0,110734.0425531915,107.02875399361022,115.26881720430107,121.01066384859256,7726.4072129970355,139429.2216389911,93070.7783610089,129500.0,5617062500,0,3.6847023896392357,78.65392682763336,0,-100
47,2019-02-07,141500,144000,135000,139500,42371,3.942652329749104,129200.0,118075.0,111333.33333333333,107.97213622291022,118.14524666525514,125.2994011976048,8683.430985745814,144125.29295723746,92024.70704276256,138666.66666666666,5875445333,0,4.348828042282885,81.3043157847864,0,-100
48,2019-02-08,137000,140000,134000,138000,18080,-1.0869565217391304,133500.0,119650.0,111877.55102040817,103.37078651685394,115.33639782699541,123.34914264866836,9307.750024915571,147573.25007474673,91726.74992525329,136333.33333333334,0,2464906666,3.05189312443492,75.32017826508046,0,-100
49,2019-02-11,141500,143500,135500,136000,19460,-1.4705882352941175,135000.0,121175.0,112360.0,100.74074074074073,112.23437177635651,121.03951584193663,9365.776164199888,149272.32849259966,93077.67150740034,137666.66666666666,2678993333,0,4.060850719888976,80.24047624898255,0,-100
50,2019-02-12,137000,137000,132500,135000,13343,-0.7407407407407408,136500.0,122575.0,112803.92156862745,98.9010989010989,110.13665102998165,119.6766904223883,9227.069729305924,150256.20918791776,94893.79081208222,134833.33333333334,0,1799081166,3.695219047435391,78.70173915429532,0,-100
51,2019-02-13,135000,136500,133000,136500,13532,1.098901098901099,137000.0,123850.0,113259.61538461539,99.63503649635037,110.2139685102947,120.51956872400034,9304.922296686225,151764.76689005867,95935.23310994133,134833.33333333334,0,1824564666,2.886944532946312,74.27285129685147,0,-100
52,2019-02-14,136500,136500,132500,134500,7484,-1.486988847583643,136000.0,124725.0,113660.37735849057,98.89705882352942,107.83724193225095,118.33499335989374,9448.579676053796,153070.7390281614,96379.26097183861,134500.0,0,1006598000,2.9091000519512766,74.41866448261314,0,-100
53,2019-02-15,135000,139500,134500,137500,13477,2.181818181818182,135900.0,125750.0,114101.85185185185,101.17733627667403,109.34393638170974,120.50637020206119,9675.661272111152,154776.98381633346,96723.01618366654,135666.66666666666,1828379666,0,3.5951991514725266,78.23815754145168,0,-100
