,index,날짜,시가,고가,저가,종가,거래량,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch,label
0,0,2018-01-02,22450,22450,21900,22350,68047,,22350.0,22350.0,22350.0,100.0,100.0,100.0,,,,22233.33333333333,0.0,0.0,,,0.0,-100
1,1,2018-01-03,22450,22600,22300,22350,63718,0.0,22350.0,22350.0,22350.0,100.0,100.0,100.0,0.0,22350.0,22350.0,22366.666666666668,1425159266.0,0.0,,,1.0,-100
2,2,2018-01-04,22550,22550,21700,21850,58258,-2.2883295194508007,22183.33333333333,22183.33333333333,22183.33333333333,98.49737039819684,98.49737039819684,98.49737039819684,288.67513459481233,22760.68360252296,21605.983064143707,22033.33333333333,0.0,1283617933.0,,,0.0,-100
3,3,2018-01-05,21700,22300,21700,22300,38386,2.0179372197309418,22212.5,22212.5,22212.5,100.3939223410242,100.3939223410242,100.3939223410242,242.8133714055574,22698.12674281112,21726.873257188887,21900.0,0.0,840653400.0,,,0.0,-100
4,4,2018-01-08,22700,22800,22250,22650,87167,1.545253863134658,22300.0,22300.0,22300.0,101.5695067264574,101.5695067264574,101.5695067264574,287.22813232690123,22874.456264653803,21725.5437353462,22533.33333333333,1964163066.0,0.0,,,0.0,-100
5,5,2018-01-09,22650,22700,22350,22350,39831,-1.342281879194631,22300.0,22308.33333333333,22308.33333333333,100.22421524663676,100.18677624206202,100.18677624206202,257.71431211065203,22823.76195755464,21792.904709112023,22450.0,0.0,894205950.0,,,0.0,-100
6,6,2018-01-10,22350,22600,21750,21950,79661,-1.8223234624145783,22220.0,22257.14285714286,22257.14285714286,98.7848784878488,98.62002567394094,98.62002567394094,271.45989794162216,22800.062653026103,21714.22306125961,22016.666666666668,0.0,1753869683.0,,,0.0,-100
7,7,2018-01-11,21950,22750,21700,22600,80393,2.8761061946902653,22370.0,22300.0,22300.0,101.02816271792578,101.34529147982065,101.34529147982065,279.0289283517799,22858.05785670356,21741.94214329644,22083.33333333333,1775345416.0,0.0,,,0.0,-100
8,8,2018-01-12,22800,28000,22700,25500,1423905,11.372549019607844,23010.0,22655.555555555555,22655.555555555555,110.82138200782268,112.5551741049534,112.5551741049534,1098.1360470259492,24851.82764960745,20459.28346150365,23666.666666666668,33699085000.0,0.0,,,1.0,-100
9,9,2018-01-15,26500,26950,25000,25500,389269,0.0,23580.0,22940.0,22940.0,108.14249363867684,111.1595466434176,111.1595466434176,1371.4955340794954,25682.99106815899,20197.00893184101,25666.666666666668,9991237666.0,0.0,,,0.0,-100
10,10,2018-01-16,25300,25600,24500,24850,231335,-2.61569416498994,24080.0,23113.636363636364,23113.636363636364,103.19767441860466,107.51229105211408,107.51229105211408,1422.8652271193694,25959.366817875103,20267.905909397625,24883.33333333333,0.0,5756385916.0,,,0.0,-100
11,11,2018-01-17,24900,25400,23950,23950,177779,-3.757828810020877,24480.0,23183.33333333333,23183.33333333333,97.83496732026144,103.30697340043136,103.30697340043136,1377.965122486008,25939.26357830535,20427.40308836132,24266.666666666668,0.0,4314103733.0,,,0.0,-100
12,12,2018-01-18,24100,24250,23400,24000,136071,0.2083333333333333,24760.0,23246.153846153848,23246.153846153848,96.93053311793214,103.24288550628722,103.24288550628722,1338.6033670803963,25923.36058031464,20568.947111993053,23833.33333333333,0.0,3243025500.0,,,0.0,-100
13,13,2018-01-19,24200,24800,23900,23900,114684,-0.4184100418410041,24440.0,23292.85714285714,23292.85714285714,97.79050736497544,102.6065624041705,102.6065624041705,1297.906175176172,25888.669493209483,20697.0447925048,24000.0,2752416000.0,0.0,2.8534667623722507,74.0493414977742,0.0,-100
14,14,2018-01-22,24000,24450,23450,24400,100599,2.0491803278688523,24220.0,23366.666666666668,23366.666666666668,100.74318744838978,104.42225392296716,104.42225392296716,1282.946756865764,25932.560180398195,20800.77315293514,23950.0,0.0,2409346050.0,2.518023042192409,71.57494456384212,0.0,-100
15,15,2018-01-23,24450,25700,24300,24850,274309,1.8108651911468807,24220.0,23459.375,23459.375,102.60115606936417,105.92780071932864,105.92780071932864,1293.7308774754256,26046.83675495085,20871.91324504915,24533.33333333333,6729714133.0,0.0,2.7768423146923427,73.5228554258173,0.0,-100
16,16,2018-01-24,25300,25300,24200,24250,154848,-2.4742268041237114,24280.0,23505.88235294117,23505.88235294117,99.87644151565074,103.16566566566568,103.16566566566568,1267.2413879344847,26040.365128810143,20971.399577072207,24583.33333333333,3806680000.0,0.0,3.1605213596458723,75.96455074839187,0.0,-100
17,17,2018-01-25,24150,24500,23900,24050,70108,-0.8316008316008316,24290.0,23536.11111111111,23536.11111111111,99.01193906957596,102.18340611353712,102.18340611353712,1236.076044152667,26008.263199416444,21063.95902280577,24033.33333333333,0.0,1684928933.0,3.027475452441532,75.17055009252059,0.0,-100
18,18,2018-01-26,24150,25200,23750,25000,153169,3.8,24510.0,23613.157894736843,23613.157894736843,101.99918400652794,105.87317508079796,105.87317508079796,1247.312901273859,26107.78369728456,21118.532092189125,24300.0,3722006700.0,0.0,3.115122809808056,75.69938866425609,0.0,-100
