,index,날짜,시가,고가,저가,종가,거래량,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch,label
0,0,2018-01-02,2440,2475,2395,2460,208765,,2460.0,2460.0,2460.0,100.0,100.0,100.0,,,,2431.6666666666665,0.0,0.0,,,0.0,-100
1,1,2018-01-03,2480,2510,2460,2470,243165,0.4048582995951417,2465.0,2465.0,2465.0,100.2028397565923,100.2028397565923,100.2028397565923,7.071067811865476,2479.142135623731,2450.857864376269,2470.0,600617550.0,0.0,,,0.0,-100
2,2,2018-01-04,2490,2490,2425,2430,148533,-1.646090534979424,2453.333333333333,2453.333333333333,2453.333333333333,99.04891304347828,99.04891304347828,99.04891304347828,20.8166599946614,2494.9666533226564,2411.7000133440106,2448.333333333333,0.0,363658295.0,,,0.0,-100
3,3,2018-01-05,2425,2490,2385,2425,163918,-0.2061855670103093,2446.25,2446.25,2446.25,99.13132345426672,99.13132345426672,99.13132345426672,22.126530078919654,2490.503060157839,2401.996939842161,2411.6666666666665,0.0,395315576.0,,,0.0,-100
4,4,2018-01-08,2425,2630,2425,2600,1306217,6.730769230769231,2477.0,2477.0,2477.0,104.96568429551878,104.96568429551878,104.96568429551878,71.3792686989717,2619.758537397943,2334.241462602057,2483.333333333333,3243772216.0,0.0,,,0.0,-100
5,5,2018-01-09,2600,2650,2530,2620,446560,0.7633587786259541,2509.0,2500.833333333333,2500.833333333333,104.42407333599044,104.76507830723092,104.76507830723092,86.51107828866002,2673.855489910653,2327.811176756013,2583.333333333333,1153613333.0,0.0,,,0.0,-100
6,6,2018-01-10,2605,2650,2550,2620,542578,0.0,2539.0,2517.8571428571427,2517.8571428571427,103.19023237495075,104.05673758865248,104.05673758865248,90.91466433131777,2699.686471519778,2336.027814194508,2591.6666666666665,1406181316.0,0.0,,,0.0,-100
7,7,2018-01-11,2620,2620,2530,2555,332571,-2.5440313111545985,2564.0,2522.5,2522.5,99.64898595943838,101.28840436075322,101.28840436075322,85.18886580500322,2692.8777316100063,2352.1222683899937,2568.333333333333,0.0,854153185.0,,,0.0,-100
8,8,2018-01-12,2570,2575,2405,2460,399900,-3.861788617886179,2571.0,2515.555555555556,2515.555555555556,95.68261376896147,97.79151943462897,97.79151943462897,82.36520975374111,2680.2859750630378,2350.825136048073,2478.333333333333,0.0,991085500.0,,,0.0,-100
9,9,2018-01-15,2460,2505,2415,2430,238033,-1.2345679012345678,2537.0,2507.0,2507.0,95.78242018131652,96.92859992022338,96.92859992022338,82.23273206103647,2671.465464122073,2342.534535877927,2435.0,0.0,579610355.0,,,0.0,-100
