,index,날짜,시가,고가,저가,종가,거래량,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch,label
0,0,2018-01-02,17056,17390,16822,17257,26940,,17257.0,17257.0,17257.0,100.0,100.0,100.0,,,,17045.0,0.0,0.0,,,0.0,-100
1,1,2018-01-03,17323,18327,17323,17825,77876,3.1865357643758765,17541.0,17541.0,17541.0,101.6190639074169,101.6190639074169,101.6190639074169,401.636651713959,18344.27330342792,16737.72669657208,17490.333333333332,1362077198.0,0.0,,,0.0,-100
2,2,2018-01-04,18193,18293,17792,17859,49544,0.1903802004591522,17647.0,17647.0,17647.0,101.20133733779112,101.20133733779112,101.20133733779112,338.1774682027175,18323.354936405434,16970.645063594566,17948.0,889215712.0,0.0,,,0.0,-100
3,3,2018-01-05,17858,18059,17390,17391,31529,-2.691047093324133,17583.0,17583.0,17583.0,98.90803617130184,98.90803617130184,98.90803617130184,304.3462939920029,18191.69258798401,16974.307412015994,17546.333333333332,0.0,553218343.0,,,0.0,-100
4,4,2018-01-08,17323,17758,16721,17759,40792,2.0721887493665183,17618.2,17618.2,17618.2,100.7991735818642,100.7991735818642,100.7991735818642,275.07308119843344,18168.34616239687,17068.053837603133,17267.666666666668,0.0,704382658.0,,,0.0,-100
5,5,2018-01-09,17457,17858,17123,17190,25212,-3.310063990692263,17604.8,17546.833333333332,17546.833333333332,97.64382441152414,97.96639469609902,97.96639469609902,301.8134633621683,18150.46026005767,16943.206406608995,17256.666666666668,0.0,435075080.0,,,0.0,-100
6,6,2018-01-10,17323,17491,17123,17190,12780,0.0,17477.8,17495.85714285714,17495.85714285714,98.35333966517526,98.25183104571695,98.25183104571695,306.75637921724893,18109.36990129164,16882.344384422642,17212.0,0.0,219969360.0,,,0.0,-100
7,7,2018-01-11,17323,17491,16889,17357,20787,0.9621478366077086,17377.4,17478.5,17478.5,99.8826061436118,99.30486025688704,99.30486025688704,288.2132147262813,18054.926429452564,16902.073570547436,17189.666666666668,0.0,357321601.0,,,0.0,-100
8,8,2018-01-12,17190,17424,17056,17224,26596,-0.772178355782629,17344.0,17450.222222222223,17450.222222222223,99.3081180811808,98.7036140896009,98.7036140896009,282.6308448213762,18015.483911864976,16884.96053257947,17156.666666666668,0.0,456298706.0,,,0.0,-100
9,9,2018-01-15,17256,17624,16721,16755,27201,-2.799164428528797,17143.2,17380.7,17380.7,97.73554528909422,96.40002991824264,96.40002991824264,345.45334143862544,18071.606682877253,16689.79331712275,16910.666666666668,0.0,459987044.0,,,0.0,-100
