,index,날짜,시가,고가,저가,종가,거래량,거래대금,fluct,MA5,MA20,MA60,disparity5,disparity20,disparity60,stddev,upper,lower,tp,pmf,nmf,mfr,mfi14,touch
866,866,2013-06-25,1790.33,1807.62,1770.53,1780.63,332240493,4462928457339,-1.032218933748161,1828.2540000000001,1915.5469999999998,1940.7706666666668,97.39511030742993,92.95673768380522,91.74860433449805,68.23559335899408,2052.018186717988,1779.0758132820117,1780.4966666666667,0,591553090318,0.15804309649847695,13.647427887299258,0
867,867,2013-06-26,1799.74,1799.74,1772.49,1783.45,296935613,4291538116347,0.15812049678992607,1807.282,1905.4085,1937.0800000000002,98.68133473359443,93.5993515301312,92.06899043921779,72.13473820239197,2049.6779764047837,1761.139023595216,1785.2266666666667,530097374610,0,0.26401741999959527,20.887166254376453,0
868,868,2013-06-27,1809.55,1839.52,1809.4,1834.7,286261013,4189195177448,2.7933722134408896,1804.1240000000003,1897.0835,1934.3918333333334,101.69478372883458,96.71161021641905,94.84634748681994,70.07610774422488,2037.2357154884498,1756.93128451155,1817.8833333333332,520389124515,0,0.39402599183217857,28.265326051367765,0
869,869,2013-06-28,1844.6,1864.09,1844.6,1863.32,251085885,4464976158936,1.5359680570165024,1812.2220000000002,1890.2445,1932.3446666666669,102.81963247328416,98.575607547066,96.4279319389881,66.05208984901451,2022.348679698029,1758.140320301971,1850.84,464719799393,0,0.5333077023547325,34.78151851293258,0
870,870,2013-07-01,1851.57,1866.63,1850.03,1855.73,220875238,3037858859660,-0.4090034649437105,1823.566,1882.9785,1930.2198333333333,101.76379686833381,98.5529043480847,96.14086271175157,61.02294204254258,2005.024384085085,1760.9326159149148,1852.4433333333334,409158862131,0,0.6984743923813337,41.12363398084811,0
871,871,2013-07-02,1861.26,1867.18,1850.29,1855.02,483156579,3895814973787,-0.038274519951269334,1838.444,1876.2509999999997,1928.4793333333334,100.90163203230557,98.86843498018123,96.1908156305538,55.850804253749416,1987.9526085074986,1764.549391492501,1855.5233333333333,896508305988,0,1.0250111601054108,50.61755610532312,0
872,872,2013-07-03,1854.29,1860.46,1823.1,1824.66,405796810,3773791592954,-1.663871625398699,1846.6860000000001,1868.0085,1926.769833333333,98.80726880476702,97.679427047575,94.7004654335551,50.127305540898455,1968.2631110817968,1767.753888918203,1834.0166666666667,0,744238112820,0.9821048530862435,49.548582233530865,0
873,873,2013-07-04,1830.49,1840.38,1825.62,1839.14,313015704,3157936368340,0.7873245103689778,1847.5739999999998,1862.006,1925.444,99.5435094886592,98.77196958549006,95.5177091621465,45.61908227232878,1953.2441645446577,1770.7678354553425,1831.75,0,573366515802,0.9708245797483285,49.25981691746007,0
874,874,2013-07-05,1848.97,1857.39,1828.75,1833.31,285635848,3778604945326,-0.3180040473242471,1841.5720000000001,1857.479,1923.9868333333334,99.55136155415046,98.6988278198569,95.28703462194518,43.606987718664925,1944.69297543733,1770.26502456267,1837.0100000000002,524715909134,0,1.2594285989234322,55.7410222887115,0
875,875,2013-07-08,1830.81,1840.57,1809.72,1816.85,303581072,3586497527604,-0.9059636183504437,1833.7959999999998,1851.6864999999998,1922.008,99.0759059350113,98.11866101524205,94.52874285642932,40.68574938348514,1933.05799876697,1770.3150012330295,1819.1266666666663,0,552252423570,0.9575940230912328,48.91688530899262,0
876,876,2013-07-09,1828.63,1831.35,1815.03,1830.35,257900549,3169262774852,0.7375638539077226,1828.8619999999999,1847.17,1920.0171666666668,100.0813620710584,99.08941786624943,95.32987682488601,37.51381612154378,1922.1976322430876,1772.1423677569126,1824.67,470583394743,0,0.943194519161658,48.538348058359865,0
877,877,2013-07-10,1835.94,1836.91,1818.94,1824.16,267902030,3284076936192,-0.3393342689237691,1828.762,1842.8825000000002,1918.3493333333333,99.74835435119496,98.9840643665562,95.09008439199812,34.76533434859206,1912.4131686971843,1773.351831302816,1826.3466666666666,489281979483,0,1.2712646315010567,55.971665030546895,0
878,878,2013-07-11,1840.34,1877.6,1840.34,1877.6,331465653,3999956785779,2.8461866212185676,1836.4540000000002,1842.6259999999997,1917.6351666666667,102.24051351136482,101.89805201923777,97.91226363791304,34.47356476155887,1911.5731295231176,1773.678870476882,1852.76,614126303252,0,1.7198261512395705,63.23294415180741,0
879,879,2013-07-12,1873.66,1873.66,1863.4,1869.98,265985874,3490851690221,-0.4074909892084349,1843.788,1841.663,1916.7646666666665,101.42055377299342,101.5375777218742,97.55918566946318,33.35371487241625,1908.3704297448326,1774.9555702551675,1869.0133333333335,497131144984,0,2.2006540497591995,68.75638589946217,0
880,880,2013-07-15,1870.26,1877.46,1847.82,1875.16,330028261,3187405696362,0.2762430939226553,1855.45,1841.266,1915.9533333333334,101.0622759977364,101.84079866787307,97.87085976345979,32.87841035344298,1907.022820706886,1775.5091792931141,1864.4133333333332,0,615309090185,2.1796177349543515,68.54967850359041,0
881,881,2013-07-16,1875.53,1875.68,1860.37,1866.36,303329917,2998515882752,-0.4715060331340246,1862.652,1839.5529999999999,1915.3916666666667,100.1990710019907,101.45725619212928,97.44012321239781,30.424134827484536,1900.401269654969,1778.7047303450308,1867.4199999999998,566444353604,0,2.194243308019352,68.69368098887658,0
882,882,2013-07-17,1871.29,1894.7,1856.55,1887.49,382916871,4022466590461,1.119476129674865,1875.318,1839.5120000000002,1915.0706666666667,100.64906325220575,102.60819173780871,98.55980945524725,30.35544598673505,1900.2228919734703,1778.80110802653,1871.7766666666666,716734864410,0,2.2732503959346895,69.4493277617264,0
883,883,2013-07-18,1883.07,1885.01,1870.78,1875.48,380291942,3520562576507,-0.6403693987672484,1874.8939999999998,1840.7614999999998,1914.2235,100.03125510028835,101.88609442342205,97.97602004154687,31.329794508555786,1903.4210890171114,1778.1019109828883,1876.4433333333334,713596279286,0,2.373395201406309,70.35627490122955,0
884,884,2013-07-19,1880.44,1881.4,1861.43,1871.41,319619615,3633387269031,-0.21748307425951213,1875.1800000000003,1843.1905000000002,1913.4365,99.79895263388046,101.53101375034213,97.80361146032283,31.74682370769227,1906.6841474153846,1779.6968525846157,1871.0933333333332,0,598038130829,1.7803304771552682,64.03305260951701,0
885,885,2013-07-22,1880.81,1894.41,1873.17,1880.35,356943880,3651967836027,0.4754434014943935,1876.218,1847.2575000000002,1912.5204999999999,100.2202302717488,101.79143947175744,98.31790038329001,30.990200127594598,1909.2379002551893,1785.277099744811,1878.11,670379870466,0,1.7069884551922325,63.05857906109959,0
886,886,2013-07-23,1890.55,1904.15,1885.57,1904.15,352401556,4347626279609,1.2499015308668004,1883.7760000000003,1853.4335000000003,1911.7296666666666,101.08155109737038,102.73635390749114,99.60351786139917,29.273781025473014,1911.9810620509463,1794.8859379490543,1893.4233333333334,667245328833,0,2.5354105282208663,71.71474169639833,0
887,887,2013-07-24,1904.07,1914.41,1901.15,1912.08,322150447,3546451783755,0.4147316011882262,1888.6940000000002,1859.8649999999998,1911.1883333333333,101.23821010708987,102.80746183190716,100.04665509155299,27.141508995031494,1914.1480179900627,1805.5819820099368,1905.7666666666667,613943583544,0,3.706493163279324,78.75275783247427,0
888,888,2013-07-25,1906.57,1913.91,1904.44,1909.61,311996708,3901940224942,-0.12934578264671986,1895.52,1863.6105,1910.6701666666668,100.74333164514222,102.46830010884784,99.94451336053902,28.61475612614882,1920.8400122522976,1806.3809877477024,1906.8733333333332,594938202572,0,3.7462656528430864,78.93080427554693,0
889,889,2013-07-26,1912.05,1915.97,1902.47,1910.81,320157685,3865049938564,0.0628005924189242,1903.4,1865.9850000000001,1909.7845000000002,100.3893033518966,102.40221652371267,100.05369715797777,30.497820888523428,1926.980641777047,1804.9893582229533,1908.4433333333334,611002799553,0,5.954938520147342,85.62172768165873,0
890,890,2013-07-29,1908.66,1912.57,1899.02,1899.89,337585600,4251052206010,-0.574770118269997,1907.3079999999998,1868.193,1908.8291666666667,99.61107487621298,101.69666624379816,99.53169373023168,31.304197818403356,1930.8013956368068,1805.5846043631932,1902.5233333333335,0,642264480997,3.6402145463226647,78.44927233391627,0
